         1005618 function calls (987576 primitive calls) in 137.339 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      436    0.000    0.000    0.000    0.000 pkgutil.py:402(get_importer)
      618    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
     1423    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.319    0.319 __init__.py:25(<module>)
       61    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 control_flow_pb2.py:4(<module>)
      110    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      182    0.000    0.000    0.024    0.000 __init__.py:3218(<genexpr>)
        1    0.000    0.000    0.000    0.000 _color_data.py:995(<dictcomp>)
       28    0.000    0.000    0.001    0.000 panel.py:1502(_panel_arith_method)
      583    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
     1474    0.000    0.000    0.000    0.000 _structures.py:33(__neg__)
      214    0.000    0.000    0.001    0.000 genericpath.py:16(exists)
      344    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
      149    0.000    0.000    0.002    0.000 pyparsing.py:1821(__add__)
